Station name	Scarrawalsh
Station number	12001
Time series name	WEB.Day.Mean
From	1955/09/05 00:00:00
To	2022/05/02 00:00:00
Unit	cubic meter per second

Date	Value	Quality
1955/09/05 00:00:00	0.282	F
1955/09/06 00:00:00	0.272	F
1955/09/07 00:00:00	0.253	F
1955/09/08 00:00:00	0.248	F
1955/09/09 00:00:00	0.241	F
1955/09/10 00:00:00	0.200	F
1955/09/11 00:00:00	0.173	F
1955/09/12 00:00:00	1.323	F
1955/09/13 00:00:00	1.021	F
1955/09/14 00:00:00	0.516	F
1955/09/15 00:00:00	0.249	F
1955/09/16 00:00:00	0.430	F
1955/09/17 00:00:00	0.606	F
1955/09/18 00:00:00	0.668	F
1955/09/19 00:00:00	0.294	F
1955/09/20 00:00:00	0.280	F
1955/09/21 00:00:00	0.587	F
1955/09/22 00:00:00	1.050	F
1955/09/23 00:00:00	1.197	F
1955/09/24 00:00:00	0.714	F
1955/09/25 00:00:00	0.628	F
1955/09/26 00:00:00	0.534	F
1955/09/27 00:00:00	0.355	F
1955/09/28 00:00:00	0.187	F
1955/09/29 00:00:00	0.132	F
1955/09/30 00:00:00	0.176	F
1955/10/01 00:00:00	0.141	F
1955/10/02 00:00:00	0.246	F
1955/10/03 00:00:00	0.351	F
1955/10/04 00:00:00	0.305	F
1955/10/05 00:00:00	0.331	F
1955/10/06 00:00:00	0.357	F
1955/10/07 00:00:00	0.528	F
1955/10/08 00:00:00	0.771	F
1955/10/09 00:00:00	0.790	F
1955/10/10 00:00:00	0.690	F
1955/10/11 00:00:00	0.373	F
1955/10/12 00:00:00	0.139	F
1955/10/13 00:00:00	0.166	F
1955/10/14 00:00:00	0.256	F
1955/10/15 00:00:00	0.214	F
1955/10/16 00:00:00	0.252	F
1955/10/17 00:00:00	0.313	F
1955/10/18 00:00:00	0.379	F
1955/10/19 00:00:00	0.459	F
1955/10/20 00:00:00	0.815	F
1955/10/21 00:00:00	0.921	F
1955/10/22 00:00:00	0.982	F
1955/10/23 00:00:00	0.854	F
1955/10/24 00:00:00	0.535	F
1955/10/25 00:00:00	0.322	F
1955/10/26 00:00:00	0.329	F
1955/10/27 00:00:00	0.580	F
1955/10/28 00:00:00	0.618	F
1955/10/29 00:00:00	0.579	F
1955/10/30 00:00:00	0.556	F
1955/10/31 00:00:00	0.661	F
1955/11/01 00:00:00	0.614	F
1955/11/02 00:00:00	0.358	F
1955/11/03 00:00:00	1.232	F
1955/11/04 00:00:00	3.336	F
1955/11/05 00:00:00	3.353	F
1955/11/06 00:00:00	6.809	F
1955/11/07 00:00:00	7.828	F
1955/11/08 00:00:00	6.955	F
1955/11/09 00:00:00	5.167	F
1955/11/10 00:00:00	4.757	F
1955/11/11 00:00:00	4.406	F
1955/11/12 00:00:00	3.812	F
1955/11/13 00:00:00	3.489	F
